,source,target,link_type,weight,source_type,dataset_x,source_country,target_type,target_country,count
30,Faroe Islands Shrimp Shark,SeaSpray Wave SRL Solutions,family_relationship,0.820287,company,MC1,Rio Isla,,,2
31,Faroe Islands Shrimp Shark,SeaSpray Wave SRL Solutions,family_relationship,0.869123,,MC1,,company,Rio Isla,2
32,903311212,Faroe Islands Shrimp Shark,membership,0.827556,company,MC1,Rio Isla,organization,,2
33,903311212,Faroe Islands Shrimp Shark,membership,3.308088,organization,MC1,,company,Rio Isla,2
34,290834957,341411,family_relationship,0.942669,organization,MC1,,organization,,2
35,290834957,341411,family_relationship,0.844384,organization,MC1,,organization,,2
36,341411,3506021,partnership,0.823344,organization,MC1,,organization,,2
37,341411,3506021,partnership,0.803840,organization,MC1,,organization,,2
38,341411,Irish Sea Seaside GmbH & Co. KG Distribution,family_relationship,1.778072,organization,MC1,,,,2
39,341411,Irish Sea Seaside GmbH & Co. KG Distribution,family_relationship,0.862562,,MC1,,organization,,2
40,235866056,341411,family_relationship,1.636088,organization,MC1,,organization,,2
41,235866056,341411,family_relationship,1.627160,organization,MC1,,organization,,2
42,341411,Christopher Cunningham,family_relationship,1.730405,organization,MC1,,person,Oceanus,2
43,341411,Christopher Cunningham,family_relationship,0.814727,person,MC1,Oceanus,organization,,2
44,341411,Christopher Cunningham,membership,0.869998,organization,MC1,,person,Oceanus,2
45,341411,Christopher Cunningham,membership,0.938505,person,MC1,Oceanus,organization,,2
46,341411,b8567859-bf54-49fd-8332-5775e19c65af,membership,0.950983,organization,MC1,,location,,2
47,341411,b8567859-bf54-49fd-8332-5775e19c65af,membership,0.833605,location,MC1,,organization,,2
48,341411,dup96,family_relationship,0.820961,organization,MC1,,,,2
49,341411,dup96,family_relationship,0.813076,,MC1,,organization,,2
50,341411,Olivia Bailey,family_relationship,0.846637,organization,MC1,,person,Country_271835,2
51,341411,Olivia Bailey,family_relationship,0.810773,person,MC1,Country_271835,organization,,2
52,341411,95,family_relationship,0.836042,organization,MC1,,organization,,2
53,341411,95,family_relationship,1.753195,organization,MC1,,organization,,2
54,341411,Jerry Welch,membership,0.820881,organization,MC1,,person,Country_271835,2
55,341411,Jerry Welch,membership,0.802631,person,MC1,Country_271835,organization,,2
56,341411,Playa del Cielo Kga,ownership,0.816223,organization,MC1,,company,Rio Isla,2
57,341411,Playa del Cielo Kga,ownership,0.818714,company,MC1,Rio Isla,organization,,2
58,341411,png xi  Line,membership,0.845169,organization,MC1,,company,Country_628643,2
59,341411,png xi  Line,membership,0.906580,company,MC1,Country_628643,organization,,2
60,341411,png xi  Line,partnership,1.685952,organization,MC1,,company,Country_628643,2
61,341411,png xi  Line,partnership,1.784708,company,MC1,Country_628643,organization,,2
62,341411,SeaSpray Wave SRL Solutions,membership,0.819132,organization,MC1,,,,2
63,341411,SeaSpray Wave SRL Solutions,membership,0.892872,,MC1,,organization,,2
64,341411,Ocean Fisheries Llc,membership,0.838622,organization,MC1,,,,2
65,341411,Ocean Fisheries Llc,membership,0.959886,,MC1,,organization,,2
66,128692,5441,ownership,0.888788,organization,MC1,,organization,,2
67,128692,5441,ownership,0.863453,organization,MC1,,organization,,2
68,Elizabeth Welch,da0a7bbb-5bd1-42aa-bcc0-b8923d5c15d4,membership,0.876156,person,MC1,Country_712875,location,,2
69,Elizabeth Welch,da0a7bbb-5bd1-42aa-bcc0-b8923d5c15d4,membership,0.906005,location,MC1,,person,Country_712875,2
70,Elizabeth Welch,Jason Huff,family_relationship,0.933454,person,MC1,Country_712875,person,Country_271835,2
71,Elizabeth Welch,Jason Huff,family_relationship,0.882447,person,MC1,Country_271835,person,Country_712875,2
72,95,967900443,family_relationship,0.844422,organization,MC1,,organization,,2
73,95,967900443,family_relationship,0.845687,organization,MC1,,organization,,2
74,4,979893388,family_relationship,0.863973,organization,MC1,,organization,,2
75,4,979893388,family_relationship,0.840348,organization,MC1,,organization,,2
76,290834957,39c767d3-a9b4-41f4-8a5d-e14b6c20a2d2,family_relationship,0.846857,organization,MC1,,location,,2
77,290834957,39c767d3-a9b4-41f4-8a5d-e14b6c20a2d2,family_relationship,0.884240,location,MC1,,organization,,2
78,85117949,Sonia Fisheries Pvt,family_relationship,0.856827,political_organization,MC1,,,,2
79,85117949,Sonia Fisheries Pvt,family_relationship,0.881701,,MC1,,political_organization,,2
80,2262,95,family_relationship,0.899734,organization,MC1,,organization,,2
81,2262,95,family_relationship,0.901961,organization,MC1,,organization,,2
82,95,png xi  Line,family_relationship,0.838078,organization,MC1,,company,Country_628643,2
83,95,png xi  Line,family_relationship,0.901795,company,MC1,Country_628643,organization,,2
84,47679,829,ownership,0.870605,organization,MC1,,organization,,2
85,47679,829,ownership,0.828440,organization,MC1,,organization,,2
86,47679,b8567859-bf54-49fd-8332-5775e19c65af,family_relationship,1.726846,organization,MC1,,location,,2
87,47679,b8567859-bf54-49fd-8332-5775e19c65af,family_relationship,0.814350,location,MC1,,organization,,2
88,57,Derek Burke,partnership,0.956302,person,MC1,Nalakond,political_organization,,2
89,57,Derek Burke,partnership,0.875196,political_organization,MC1,,person,Nalakond,2
90,Derek Burke,c01c6a10-60c9-4f11-9409-aa04c3963826,partnership,0.905324,person,MC1,Nalakond,location,,2
91,Derek Burke,c01c6a10-60c9-4f11-9409-aa04c3963826,partnership,0.945534,location,MC1,,person,Nalakond,2
92,Derek Burke,Morgan Bell,family_relationship,0.841653,person,MC1,Nalakond,person,Country_895471,2
93,Derek Burke,Morgan Bell,family_relationship,0.911762,person,MC1,Country_895471,person,Nalakond,2
94,Amanda Mckenzie,Estrella de Coral Ltd. Corporation Logistics,partnership,0.800088,person,MC1,Oceanus,,,2
95,Amanda Mckenzie,Estrella de Coral Ltd. Corporation Logistics,partnership,0.979983,,MC1,,person,Oceanus,2
96,Amanda Mckenzie,Mar del Oeste Pic,ownership,0.913723,person,MC1,Oceanus,company,Vesperlandia,2
97,Amanda Mckenzie,Mar del Oeste Pic,ownership,0.827603,company,MC1,Vesperlandia,person,Oceanus,2
98,Amanda Mckenzie,SeaSpray Wave SRL Solutions,partnership,0.830771,person,MC1,Oceanus,,,2
99,Amanda Mckenzie,SeaSpray Wave SRL Solutions,partnership,0.831555,,MC1,,person,Oceanus,2
100,2262,865275,family_relationship,0.825244,organization,MC1,,organization,,2
101,2262,865275,family_relationship,0.888151,organization,MC1,,organization,,2
102,2262,8412071,family_relationship,0.917990,organization,MC1,,organization,,2
103,2262,8412071,family_relationship,0.922560,organization,MC1,,organization,,2
104,2262,439861274,family_relationship,0.954206,organization,MC1,,organization,,2
105,2262,439861274,family_relationship,0.942543,organization,MC1,,organization,,2
106,2262,Kimberly Palmer,family_relationship,0.823040,organization,MC1,,person,Country_271835,2
107,2262,Kimberly Palmer,family_relationship,0.911845,person,MC1,Country_271835,organization,,2
108,2262,97,membership,0.821989,organization,MC1,,organization,,2
109,2262,97,membership,0.825050,organization,MC1,,organization,,2
110,2262,png xi  Line,family_relationship,0.913855,organization,MC1,,company,Country_628643,2
111,2262,png xi  Line,family_relationship,0.884150,company,MC1,Country_628643,organization,,2
112,78135,79139,ownership,0.831885,organization,MC1,,organization,,2
113,78135,79139,ownership,0.802004,organization,MC1,,organization,,2
114,58,Cynthia Williams,membership,0.941544,organization,MC1,,person,Country_19028,2
115,58,Cynthia Williams,membership,0.932510,person,MC1,Country_19028,organization,,2
116,58,Armed Robberyâ,membership,0.960730,organization,MC1,,,,2
117,58,Armed Robberyâ,membership,0.914776,,MC1,,organization,,2
118,58,76,membership,0.821264,organization,MC1,,organization,,2
119,58,76,membership,0.905049,organization,MC1,,organization,,2
120,28,83,partnership,0.897822,organization,MC1,,organization,,2
121,28,83,partnership,0.828224,organization,MC1,,organization,,2
122,Ms. Stephanie Rivera DDS,c01c6a10-60c9-4f11-9409-aa04c3963826,membership,0.837831,person,MC1,Vesperanda,location,,2
123,Ms. Stephanie Rivera DDS,c01c6a10-60c9-4f11-9409-aa04c3963826,membership,0.961275,location,MC1,,person,Vesperanda,2
124,57,Ms. Stephanie Rivera DDS,membership,0.883081,person,MC1,Vesperanda,political_organization,,2
125,57,Ms. Stephanie Rivera DDS,membership,0.912613,political_organization,MC1,,person,Vesperanda,2
126,Morgan Bell,Ms. Stephanie Rivera DDS,family_relationship,0.923422,person,MC1,Vesperanda,person,Country_895471,2
127,Morgan Bell,Ms. Stephanie Rivera DDS,family_relationship,0.885394,person,MC1,Country_895471,person,Vesperanda,2
128,Dana Goodwin,Turkish Sword Buoy Incorporated Forwading,membership,0.918757,company,MC1,Oceanus,person,Marebak,2
129,Dana Goodwin,Turkish Sword Buoy Incorporated Forwading,membership,0.818292,person,MC1,Marebak,company,Oceanus,2
130,838200939,860600018,partnership,0.922047,organization,MC1,,political_organization,,2
131,838200939,860600018,partnership,0.851231,political_organization,MC1,,organization,,2
132,435054320,8327,membership,0.901995,organization,MC1,,organization,,2
133,435054320,8327,membership,0.816972,organization,MC1,,organization,,2
134,1560,829,ownership,0.880239,organization,MC1,,organization,,2
135,1560,829,ownership,0.841754,organization,MC1,,organization,,2
136,979893388,Sept,family_relationship,0.925002,,MC1,,organization,,2
137,979893388,Sept,family_relationship,0.837183,organization,MC1,,,,2
138,979893388,John Gonzalez,family_relationship,0.800705,person,MC1,Nalakond,organization,,2
139,979893388,John Gonzalez,family_relationship,0.859619,organization,MC1,,person,Nalakond,2
140,57,Luis Jones,partnership,0.958535,political_organization,MC1,,person,Riodelsol,2
141,57,Luis Jones,partnership,0.949109,person,MC1,Riodelsol,political_organization,,2
142,57,c01c6a10-60c9-4f11-9409-aa04c3963826,partnership,0.905261,political_organization,MC1,,location,,2
143,57,c01c6a10-60c9-4f11-9409-aa04c3963826,partnership,0.973083,location,MC1,,political_organization,,2
144,17232,57,partnership,0.931179,political_organization,MC1,,political_organization,,2
145,17232,57,partnership,0.891313,political_organization,MC1,,political_organization,,2
146,51,57,partnership,0.926528,political_organization,MC1,,political_organization,,2
147,51,57,partnership,0.921497,political_organization,MC1,,political_organization,,2
148,57,f810c631-9f7d-4219-ade0-b44c4c9abf62,ownership,0.926083,political_organization,MC1,,location,,2
149,57,f810c631-9f7d-4219-ade0-b44c4c9abf62,ownership,0.942602,location,MC1,,political_organization,,2
150,57,Melissa Norman,ownership,0.829233,political_organization,MC1,,person,Country_615819,2
151,57,Melissa Norman,ownership,0.888378,person,MC1,Country_615819,political_organization,,2
152,Tian,dup18,ownership,0.826983,vessel,MC1,,vessel,,2
153,Tian,dup18,ownership,0.820332,vessel,MC1,,vessel,,2
154,Michael Brock,months,membership,0.825670,movement,MC1,,person,Country_461742,2
155,Michael Brock,months,membership,0.855957,person,MC1,Country_461742,movement,,2
156,439861274,865275,family_relationship,0.921378,organization,MC1,,organization,,2
157,439861274,865275,family_relationship,0.935177,organization,MC1,,organization,,2
158,865275,ânecessaryâ,family_relationship,0.947181,organization,MC1,,,,2
159,865275,ânecessaryâ,family_relationship,0.890218,,MC1,,organization,,2
160,23777,28,partnership,0.888459,organization,MC1,,organization,,2
161,23777,28,partnership,0.879812,organization,MC1,,organization,,2
162,28,Playa del Cielo Kga,partnership,0.802796,organization,MC1,,company,Rio Isla,2
163,28,Playa del Cielo Kga,partnership,0.879232,company,MC1,Rio Isla,organization,,2
164,903311212,png xi  Line,ownership,2.631742,company,MC1,Country_628643,organization,,2
165,903311212,png xi  Line,ownership,2.637258,organization,MC1,,company,Country_628643,2
166,903311212,png xi  Line,partnership,4.252318,company,MC1,Country_628643,organization,,2
167,903311212,png xi  Line,partnership,1.743072,organization,MC1,,company,Country_628643,2
168,903311212,png xi  Line,membership,1.755213,company,MC1,Country_628643,organization,,2
169,903311212,png xi  Line,membership,9.218299,organization,MC1,,company,Country_628643,2
170,903311212,png xi  Line,family_relationship,0.801638,company,MC1,Country_628643,organization,,2
171,903311212,png xi  Line,family_relationship,3.641398,organization,MC1,,company,Country_628643,2
172,Ocean Fisheries Llc,png xi  Line,membership,3.366229,company,MC1,Country_628643,,,2
173,Ocean Fisheries Llc,png xi  Line,membership,6.994449,,MC1,,company,Country_628643,2
174,Ocean Fisheries Llc,png xi  Line,family_relationship,1.823894,company,MC1,Country_628643,,,2
175,Ocean Fisheries Llc,png xi  Line,family_relationship,1.682400,,MC1,,company,Country_628643,2
176,Ocean Fisheries Llc,png xi  Line,partnership,3.356761,company,MC1,Country_628643,,,2
177,Ocean Fisheries Llc,png xi  Line,partnership,1.798556,,MC1,,company,Country_628643,2
178,Ocean Fisheries Llc,png xi  Line,ownership,1.646378,company,MC1,Country_628643,,,2
179,Ocean Fisheries Llc,png xi  Line,ownership,3.349665,,MC1,,company,Country_628643,2
180,SeaSpray Wave SRL Solutions,png xi  Line,membership,3.445366,company,MC1,Country_628643,,,2
181,SeaSpray Wave SRL Solutions,png xi  Line,membership,2.579605,,MC1,,company,Country_628643,2
182,SeaSpray Wave SRL Solutions,png xi  Line,ownership,2.500367,company,MC1,Country_628643,,,2
183,SeaSpray Wave SRL Solutions,png xi  Line,ownership,0.851496,,MC1,,company,Country_628643,2
184,SeaSpray Wave SRL Solutions,png xi  Line,partnership,3.474293,company,MC1,Country_628643,,,2
185,SeaSpray Wave SRL Solutions,png xi  Line,partnership,1.735261,,MC1,,company,Country_628643,2
186,Mar del Oeste Pic,png xi  Line,partnership,0.864544,company,MC1,Country_628643,company,Vesperlandia,2
187,Mar del Oeste Pic,png xi  Line,partnership,1.680984,company,MC1,Vesperlandia,company,Country_628643,2
188,Mar del Oeste Pic,png xi  Line,ownership,2.452251,company,MC1,Country_628643,company,Vesperlandia,2
189,Mar del Oeste Pic,png xi  Line,ownership,1.635207,company,MC1,Vesperlandia,company,Country_628643,2
190,Mar del Oeste Pic,png xi  Line,membership,4.402561,company,MC1,Country_628643,company,Vesperlandia,2
191,Mar del Oeste Pic,png xi  Line,membership,5.115522,company,MC1,Vesperlandia,company,Country_628643,2
192,Seafood,png xi  Line,ownership,0.859600,company,MC1,Country_628643,,,2
193,Seafood,png xi  Line,ownership,0.870866,,MC1,,company,Country_628643,2
194,Michael Brock,png xi  Line,membership,0.802257,company,MC1,Country_628643,person,Country_461742,2
195,Michael Brock,png xi  Line,membership,0.959903,person,MC1,Country_461742,company,Country_628643,2
196,Playa del Cielo Kga,periods years,membership,0.943481,company,MC1,Rio Isla,event,,2
197,Playa del Cielo Kga,periods years,membership,0.857869,event,MC1,,company,Rio Isla,2
198,Playa del Cielo Kga,days,ownership,0.930204,company,MC1,Rio Isla,movement,,2
199,Playa del Cielo Kga,days,ownership,0.809262,movement,MC1,,company,Rio Isla,2
200,Morgan Bell,Playa del Cielo Kga,ownership,0.852945,company,MC1,Rio Isla,person,Country_895471,2
201,Morgan Bell,Playa del Cielo Kga,ownership,0.912526,person,MC1,Country_895471,company,Rio Isla,2
202,577a9358-a718-4d90-a90e-88f88c58160d,Playa del Cielo Kga,membership,0.833899,company,MC1,Rio Isla,location,,2
203,577a9358-a718-4d90-a90e-88f88c58160d,Playa del Cielo Kga,membership,1.767268,location,MC1,,company,Rio Isla,2
204,511915273,Playa del Cielo Kga,ownership,0.815597,company,MC1,Rio Isla,organization,,2
205,511915273,Playa del Cielo Kga,ownership,0.856240,organization,MC1,,company,Rio Isla,2
206,April,Playa del Cielo Kga,ownership,0.877371,company,MC1,Rio Isla,event,,2
207,April,Playa del Cielo Kga,ownership,0.857083,event,MC1,,company,Rio Isla,2
208,Playa del Cielo Kga,b03a6fc7-507a-4328-9814-57561acb4fc6,ownership,0.820523,company,MC1,Rio Isla,location,,2
209,Playa del Cielo Kga,b03a6fc7-507a-4328-9814-57561acb4fc6,ownership,0.834354,location,MC1,,company,Rio Isla,2
210,903311212,Playa del Cielo Kga,family_relationship,0.809640,company,MC1,Rio Isla,organization,,2
211,903311212,Playa del Cielo Kga,family_relationship,0.817783,organization,MC1,,company,Rio Isla,2
212,Jeremy Norris,âŠ,membership,0.903614,event,MC1,,person,Country_271835,2
213,Jeremy Norris,âŠ,membership,0.805733,person,MC1,Country_271835,event,,2
214,235866056,Irish Sea Seaside GmbH & Co. KG Distribution,family_relationship,0.955008,organization,MC1,,,,2
215,235866056,Irish Sea Seaside GmbH & Co. KG Distribution,family_relationship,0.828251,,MC1,,organization,,2
216,235866056,b8567859-bf54-49fd-8332-5775e19c65af,family_relationship,0.902373,organization,MC1,,location,,2
217,235866056,b8567859-bf54-49fd-8332-5775e19c65af,family_relationship,0.820985,location,MC1,,organization,,2
218,41398ea8-d14a-4666-80e8-6a212684d871,Estrella de Coral Ltd. Corporation Logistics,ownership,0.824552,location,MC1,,,,2
219,41398ea8-d14a-4666-80e8-6a212684d871,Estrella de Coral Ltd. Corporation Logistics,ownership,0.866879,,MC1,,location,,2
220,75471,9488645,membership,0.821307,organization,MC1,,organization,,2
221,75471,9488645,membership,0.938118,organization,MC1,,organization,,2
222,34,Dana Goodwin,membership,0.847177,organization,MC1,,person,Marebak,2
223,34,Dana Goodwin,membership,0.876900,person,MC1,Marebak,organization,,2
224,43454,86590543,ownership,0.837745,organization,MC1,,organization,,2
225,43454,86590543,ownership,0.840853,organization,MC1,,organization,,2
226,Mar del Oeste Pic,Ocean Fisheries Llc,ownership,6.059590,company,MC1,Vesperlandia,,,2
227,Mar del Oeste Pic,Ocean Fisheries Llc,ownership,2.576547,,MC1,,company,Vesperlandia,2
228,Mar del Oeste Pic,Ocean Fisheries Llc,partnership,0.829575,company,MC1,Vesperlandia,,,2
229,Mar del Oeste Pic,Ocean Fisheries Llc,partnership,0.826447,,MC1,,company,Vesperlandia,2
230,Mar del Oeste Pic,Ocean Fisheries Llc,family_relationship,3.281530,company,MC1,Vesperlandia,,,2
231,Mar del Oeste Pic,Ocean Fisheries Llc,family_relationship,1.701315,,MC1,,company,Vesperlandia,2
232,Mar del Oeste Pic,Ocean Fisheries Llc,membership,1.699454,company,MC1,Vesperlandia,,,2
233,Mar del Oeste Pic,Ocean Fisheries Llc,membership,3.331997,,MC1,,company,Vesperlandia,2
234,Mar del Oeste Pic,SeaSpray Wave SRL Solutions,membership,3.475983,company,MC1,Vesperlandia,,,2
235,Mar del Oeste Pic,SeaSpray Wave SRL Solutions,membership,2.583805,,MC1,,company,Vesperlandia,2
236,Mar del Oeste Pic,SeaSpray Wave SRL Solutions,partnership,3.374103,company,MC1,Vesperlandia,,,2
237,Mar del Oeste Pic,SeaSpray Wave SRL Solutions,partnership,1.718619,,MC1,,company,Vesperlandia,2
238,Mar del Oeste Pic,SeaSpray Wave SRL Solutions,ownership,3.446472,company,MC1,Vesperlandia,,,2
239,Mar del Oeste Pic,SeaSpray Wave SRL Solutions,ownership,1.731548,,MC1,,company,Vesperlandia,2
240,Mar del Oeste Pic,SeaSpray Wave SRL Solutions,family_relationship,0.804586,company,MC1,Vesperlandia,,,2
241,Mar del Oeste Pic,SeaSpray Wave SRL Solutions,family_relationship,0.920995,,MC1,,company,Vesperlandia,2
242,903311212,Mar del Oeste Pic,family_relationship,1.636553,company,MC1,Vesperlandia,organization,,2
243,903311212,Mar del Oeste Pic,family_relationship,3.537982,organization,MC1,,company,Vesperlandia,2
244,903311212,Mar del Oeste Pic,partnership,3.321390,company,MC1,Vesperlandia,organization,,2
245,903311212,Mar del Oeste Pic,partnership,1.780004,organization,MC1,,company,Vesperlandia,2
246,903311212,Mar del Oeste Pic,membership,3.428156,company,MC1,Vesperlandia,organization,,2
247,903311212,Mar del Oeste Pic,membership,6.937736,organization,MC1,,company,Vesperlandia,2
248,903311212,Mar del Oeste Pic,ownership,3.499780,company,MC1,Vesperlandia,organization,,2
249,903311212,Mar del Oeste Pic,ownership,4.480122,organization,MC1,,company,Vesperlandia,2
250,979893388,Mar del Oeste Pic,family_relationship,0.836114,company,MC1,Vesperlandia,organization,,2
251,979893388,Mar del Oeste Pic,family_relationship,0.855704,organization,MC1,,company,Vesperlandia,2
252,19,Mar del Oeste Pic,membership,0.804742,company,MC1,Vesperlandia,vessel,,2
253,19,Mar del Oeste Pic,membership,1.662240,vessel,MC1,,company,Vesperlandia,2
254,7505050,8327,membership,0.884615,organization,MC1,,organization,,2
255,7505050,8327,membership,0.827284,organization,MC1,,organization,,2
256,34731154,8787,partnership,0.900874,organization,MC1,,organization,,2
257,34731154,8787,partnership,0.924882,organization,MC1,,organization,,2
258,1094345,7691,membership,0.802727,organization,MC1,,organization,,2
259,1094345,7691,membership,0.838957,organization,MC1,,organization,,2
260,7691,three,membership,0.844028,organization,MC1,,movement,,2
261,7691,three,membership,0.853685,movement,MC1,,organization,,2
262,519994690,water,membership,0.830469,vessel,MC1,,organization,,2
263,519994690,water,membership,0.919487,organization,MC1,,vessel,,2
264,Tshikwea Corp Marine sanctuary,water,partnership,0.936138,vessel,MC1,,company,Marebak,2
265,Tshikwea Corp Marine sanctuary,water,partnership,0.905055,company,MC1,Marebak,vessel,,2
266,œDdï,œï,partnership,0.972193,,MC1,,,,2
267,œDdï,œï,partnership,0.940960,,MC1,,,,2
268,Æï,œï,partnership,0.967228,,MC1,,,,2
269,Æï,œï,partnership,0.952744,,MC1,,,,2
270,œgï,œï,partnership,0.963733,,MC1,,,,2
271,œgï,œï,partnership,0.959519,,MC1,,,,2
272,pï¿œï,œï,partnership,0.972378,,MC1,,,,2
273,pï¿œï,œï,partnership,0.950057,,MC1,,,,2
274,pï¿œï,œgï,partnership,0.972160,,MC1,,,,2
275,pï¿œï,œgï,partnership,0.955489,,MC1,,,,2
276,œgï,œï¿œï,partnership,0.970194,,MC1,,,,2
277,œgï,œï¿œï,partnership,0.963312,,MC1,,,,2
278,Kï,œgï,partnership,0.957169,,MC1,,,,2
279,Kï,œgï,partnership,0.963285,,MC1,,,,2
280,Jeremy Norris,SeaSpray Wave SRL Solutions,partnership,0.867756,person,MC1,Country_271835,,,2
281,Jeremy Norris,SeaSpray Wave SRL Solutions,partnership,1.683684,,MC1,,person,Country_271835,2
282,2230601,262157542,family_relationship,0.862779,organization,MC1,,organization,,2
283,2230601,262157542,family_relationship,0.927707,organization,MC1,,organization,,2
284,704,AND fisheryâ,membership,0.880054,,MC1,,political_organization,,2
285,704,AND fisheryâ,membership,0.965819,political_organization,MC1,,,,2
286,515270,704,membership,0.854409,organization,MC1,,political_organization,,2
287,515270,704,membership,0.953945,political_organization,MC1,,organization,,2
288,09e2222b-c13c-4a94-b1d9-b79238be0788,704,membership,0.951535,location,MC1,,political_organization,,2
289,09e2222b-c13c-4a94-b1d9-b79238be0788,704,membership,0.952324,political_organization,MC1,,location,,2
290,704,artisanalâ,membership,0.935962,,MC1,,political_organization,,2
291,704,artisanalâ,membership,0.944215,political_organization,MC1,,,,2
292,704,scaleâ,membership,0.905379,political_organization,MC1,,,,2
293,704,scaleâ,membership,0.942512,,MC1,,political_organization,,2
294,cyaneaâ,âo,membership,0.816067,,MC1,,,,2
295,cyaneaâ,âo,membership,0.929340,,MC1,,,,2
296,829,995899,ownership,0.890938,organization,MC1,,organization,,2
297,829,995899,ownership,0.879302,organization,MC1,,organization,,2
298,47249,829,ownership,0.870103,organization,MC1,,organization,,2
299,47249,829,ownership,0.832437,organization,MC1,,organization,,2
300,23399545,829,ownership,0.847215,organization,MC1,,organization,,2
301,23399545,829,ownership,0.888434,organization,MC1,,organization,,2
302,7023,Sudd Swamp  Wave AS Freight,membership,0.842676,political_organization,MC1,,company,Country_271835,2
303,7023,Sudd Swamp  Wave AS Freight,membership,0.878064,company,MC1,Country_271835,political_organization,,2
304,577a9358-a718-4d90-a90e-88f88c58160d,7023,membership,0.823095,political_organization,MC1,,location,,2
305,577a9358-a718-4d90-a90e-88f88c58160d,7023,membership,0.841546,location,MC1,,political_organization,,2
306,626,Morgan Bell,ownership,0.907553,person,MC1,Country_895471,political_organization,,2
307,626,Morgan Bell,ownership,0.812901,political_organization,MC1,,person,Country_895471,2
308,156,Morgan Bell,partnership,0.839456,person,MC1,Country_895471,political_organization,,2
309,156,Morgan Bell,partnership,0.878670,political_organization,MC1,,person,Country_895471,2
310,Michael Andrews,Morgan Bell,family_relationship,0.956312,person,MC1,Country_895471,person,Zambalantis,2
311,Michael Andrews,Morgan Bell,family_relationship,0.811357,person,MC1,Zambalantis,person,Country_895471,2
312,Mark Hernandez PhD,Morgan Bell,family_relationship,0.816001,person,MC1,Country_895471,person,Oceanterra,2
313,Mark Hernandez PhD,Morgan Bell,family_relationship,0.842686,person,MC1,Oceanterra,person,Country_895471,2
314,172114,Irish Sea Seaside GmbH & Co. KG Distribution,family_relationship,0.869064,organization,MC1,,,,2
315,172114,Irish Sea Seaside GmbH & Co. KG Distribution,family_relationship,0.894279,,MC1,,organization,,2
316,440994840,Bryan Johnston,ownership,0.806910,person,MC1,Oceanus,political_organization,,2
317,440994840,Bryan Johnston,ownership,0.860050,political_organization,MC1,,person,Oceanus,2
