source,target,link_type,weight,source_type,source_country,target_type,target_country
Spanish Shrimp  Carriers,77b46bc7-7e31-41a0-973c-e633011d21b0,membership,0.88794583,company,Nalakond,location,
Spanish Shrimp  Carriers,âencounteredâ,membership,0.89960074,company,Nalakond,,
Spanish Shrimp  Carriers,f7a4114d-d1ca-44df-a7e0-c72e440671ba,family_relationship,0.89385,company,Nalakond,location,
Spanish Shrimp  Carriers,39,membership,0.8977303,company,Nalakond,organization,
Spanish Shrimp  Carriers,3433,partnership,0.85345495,company,Nalakond,organization,
Spanish Shrimp  Carriers,Kara Sullivan,family_relationship,0.954674,company,Nalakond,person,Country_271835
Spanish Shrimp  Carriers,52093e45-b873-4300-9612-8dfc291b1339,partnership,0.9264291,company,Nalakond,location,
Spanish Shrimp  Carriers,200640636,partnership,0.9294543,company,Nalakond,organization,
Spanish Shrimp  Carriers,300668979,partnership,0.90164447,company,Nalakond,organization,
Spanish Shrimp  Carriers,Stacey Ortega,partnership,0.9337086,company,Nalakond,person,Country_271835
Spanish Shrimp  Carriers,285351,family_relationship,0.93725806,company,Nalakond,organization,
Spanish Shrimp  Carriers,allAfrica,membership,0.85655963,company,Nalakond,,
Spanish Shrimp  Carriers,l y S.A. de C.V. International,membership,0.9649751,company,Nalakond,,
Spanish Shrimp  Carriers,b28d568f-09b4-41bd-b04d-4cf255f1adc6,membership,0.9384681,company,Nalakond,location,
Spanish Shrimp  Carriers,122245,ownership,0.8305824,company,Nalakond,organization,
Spanish Shrimp  Carriers,341411,family_relationship,0.8497422,company,Nalakond,organization,
Spanish Shrimp  Carriers,Playa del Cielo Kga,membership,0.8640143,company,Nalakond,company,Rio Isla
Spanish Shrimp  Carriers,160,ownership,0.8408453,company,Nalakond,organization,
Spanish Shrimp  Carriers,903311212,ownership,0.80696726,company,Nalakond,organization,
Spanish Shrimp  Carriers,SeaSpray Wave SRL Solutions,membership,0.88245773,company,Nalakond,,
Spanish Shrimp  Carriers,png xi  Line,membership,0.8822255,company,Nalakond,company,Country_628643
Spanish Shrimp  Carriers,Mar del Oeste Pic,membership,0.91648334,company,Nalakond,company,Vesperlandia
Spanish Shrimp  Carriers,Ocean Fisheries Llc,ownership,0.8070168,company,Nalakond,,
Spanish Shrimp  Carriers,Ocean Fisheries Llc,family_relationship,0.80074245,company,Nalakond,,
12744,Spanish Shrimp  Carriers,ownership,0.91701066,organization,,company,Nalakond
12744,255â273,partnership,0.9258137,organization,,,
12744,858,membership,0.90370446,organization,,organization,
143129355,Spanish Shrimp  Carriers,ownership,0.92168045,organization,,company,Nalakond
143129355,pilot,membership,0.811439,organization,,vessel,
143129355,9699687,membership,0.85087025,organization,,organization,
143129355,Melinda Bentley,membership,0.89279175,organization,,person,Country_462996
7775,Sean Vasquez,family_relationship,0.9460538,organization,,person,Country_271835
7775,196159,family_relationship,0.85230386,organization,,organization,
7775,755,family_relationship,0.95881826,organization,,organization,
7775,Ancla del Mar Ltd. Corporation,family_relationship,0.8827995,organization,,,
7775,95,family_relationship,0.91212845,organization,,organization,
7775,185040354,family_relationship,0.937907,organization,,organization,
1017141,2591586,membership,0.8675355,organization,,organization,
1017141,185040354,membership,0.880043,organization,,organization,
1017141,0,partnership,0.90195256,organization,,organization,
2591586,185040354,family_relationship,0.89889705,organization,,organization,
2591586,0,partnership,0.9113865,organization,,organization,
2591586,49,ownership,0.8243702,organization,,organization,
2591586,71352,family_relationship,0.88491124,organization,,organization,
2591586,60806,ownership,0.8380731,organization,,organization,
2591586,SeaSpray Wave SRL Solutions,membership,0.8130386,organization,,,
2591586,png xi  Line,partnership,0.8093446,organization,,company,Country_628643
185040354,4,partnership,0.8574063,organization,,organization,
185040354,77b46bc7-7e31-41a0-973c-e633011d21b0,partnership,0.9082395,organization,,location,
185040354,7,partnership,0.9027907,organization,,organization,
185040354,35,ownership,0.90231067,organization,,organization,
185040354,Faroe Islands Shrimp Shark,partnership,0.9120527,organization,,company,Rio Isla
185040354,6406040,partnership,0.9322683,organization,,political_organization,
185040354,290834957,family_relationship,0.9499722,organization,,organization,
185040354,Jamie Knox,partnership,0.8384497,organization,,person,Country_271835
185040354,0,partnership,0.8960208,organization,,organization,
185040354,3506021,ownership,0.84134257,organization,,organization,
185040354,664738735,ownership,0.80856466,organization,,organization,
185040354,2262,ownership,0.9200609,organization,,organization,
185040354,5848,ownership,0.896637,organization,,organization,
185040354,505943,ownership,0.82721174,organization,,organization,
185040354,Jerry Welch,partnership,0.8559051,organization,,person,Country_271835
185040354,23774,partnership,0.85033315,organization,,organization,
185040354,854,partnership,0.81937426,organization,,organization,
185040354,903311212,membership,0.9579221,organization,,organization,
185040354,Mar del Oeste Pic,membership,0.9049128,organization,,company,Vesperlandia
Faroe Islands Shrimp Shark,2591586,partnership,0.88091284,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,185040354,membership,0.89682174,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,185040354,family_relationship,0.8004607,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,650512,membership,0.9179369,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,6406040,partnership,0.915767,company,Rio Isla,political_organization,
Faroe Islands Shrimp Shark,290834957,membership,0.9320071,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,Ancla Azul Company Solutions,family_relationship,0.80087644,company,Rio Isla,,
Faroe Islands Shrimp Shark,245,family_relationship,0.80773896,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,551,family_relationship,0.9212231,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,5372,family_relationship,0.8270625,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,951093,family_relationship,0.82179725,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,Tamil Nadu S.p.A.,family_relationship,0.84672105,company,Rio Isla,,
Faroe Islands Shrimp Shark,02cd44a1-7945-40d9-b38f-56f70976582c,family_relationship,0.88316095,company,Rio Isla,location,
Faroe Islands Shrimp Shark,7950,family_relationship,0.8576304,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,44,membership,0.847137,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,41,membership,0.82616806,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,c1aeee2d-0030-4d85-b45c-ac3fd9887b98,membership,0.83704895,company,Rio Isla,location,
Faroe Islands Shrimp Shark,98703,partnership,0.90117604,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,34,partnership,0.93715215,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,Spanish Shrimp  Carriers,partnership,0.81411695,company,Rio Isla,company,Nalakond
Faroe Islands Shrimp Shark,Dana Goodwin,partnership,0.89687985,company,Rio Isla,person,Marebak
Faroe Islands Shrimp Shark,7691,partnership,0.8262601,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,380,partnership,0.81719506,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,OceanicOrigin Foods Co and Son's,ownership,0.86927295,company,Rio Isla,company,Country_271835
Faroe Islands Shrimp Shark,852015,ownership,0.83493114,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,71317,ownership,0.86684185,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,Act,membership,0.9012811,company,Rio Isla,event,
Faroe Islands Shrimp Shark,l y S.A. de C.V. International,membership,0.94861764,company,Rio Isla,,
Faroe Islands Shrimp Shark,16,partnership,0.81251955,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,âThese,partnership,0.88998085,company,Rio Isla,event,
Faroe Islands Shrimp Shark,31,partnership,0.821271,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,3506021,partnership,0.83774954,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,Fisherman'sFriend Charter Boat S.A. de C.V. Freight ,membership,0.92099714,company,Rio Isla,,
Faroe Islands Shrimp Shark,PC,partnership,0.8437206,company,Rio Isla,vessel,
Faroe Islands Shrimp Shark,39,partnership,0.84527004,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,7298083,partnership,0.80260277,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,FiTI,family_relationship,0.80869645,company,Rio Isla,,
Faroe Islands Shrimp Shark,48,ownership,0.91337633,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,43685541,membership,0.82293105,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,Marie Lee,partnership,0.94451296,company,Rio Isla,person,Country_271835
Faroe Islands Shrimp Shark,49,family_relationship,0.84685665,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,449820,membership,0.8082731,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,Victoria,family_relationship,0.8115202,company,Rio Isla,,
Faroe Islands Shrimp Shark,73166320,family_relationship,0.854292,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,262157542,partnership,0.83002937,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,faf.20363,partnership,0.9467771,company,Rio Isla,,
Faroe Islands Shrimp Shark,Christopher Cunningham,family_relationship,1.60994709,company,Rio Isla,person,Oceanus
Faroe Islands Shrimp Shark,589,family_relationship,0.90827155,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,94,family_relationship,0.8224123,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,Mr. Joseph Johnson,ownership,0.92168885,company,Rio Isla,person,Country_271835
Faroe Islands Shrimp Shark,720,partnership,0.83362126,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,fdcbe098-dbe6-4e52-8bd7-96cf3ae30101,membership,0.91618645,company,Rio Isla,location,
Faroe Islands Shrimp Shark,767,partnership,0.88314736,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,Master,family_relationship,0.8398377,company,Rio Isla,,
Faroe Islands Shrimp Shark,Michael Andrews,partnership,0.89321953,company,Rio Isla,person,Zambalantis
Faroe Islands Shrimp Shark,Sarah Garcia,ownership,0.9304359,company,Rio Isla,person,Country_271835
Faroe Islands Shrimp Shark,Jessica James,ownership,0.9054944,company,Rio Isla,person,Country_271835
Faroe Islands Shrimp Shark,26794528-86a5-4b5e-802f-50c3f226c66b,ownership,0.9223005,company,Rio Isla,location,
Faroe Islands Shrimp Shark,c01c6a10-60c9-4f11-9409-aa04c3963826,ownership,0.8002637,company,Rio Isla,location,
Faroe Islands Shrimp Shark,57,ownership,0.8422154,company,Rio Isla,political_organization,
Faroe Islands Shrimp Shark,9550,membership,0.8259138,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,46901627,family_relationship,0.83669424,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,Faurtil FÃ¡brica Urnas TietÃª,ownership,0.8761594,company,Rio Isla,,
Faroe Islands Shrimp Shark,Turkish Mussels Ltd. Liability Co Marine biology,ownership,0.8191037,company,Rio Isla,,
Faroe Islands Shrimp Shark,Leslie Williams,ownership,0.8986532,company,Rio Isla,person,Country_271835
Faroe Islands Shrimp Shark,83951569,partnership,0.8249205,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,577a9358-a718-4d90-a90e-88f88c58160d,membership,0.80356675,company,Rio Isla,location,
Faroe Islands Shrimp Shark,b120bc86-764c-4e2b-9f36-1587f91a20e3,family_relationship,0.82205546,company,Rio Isla,location,
Faroe Islands Shrimp Shark,6c7a8222-efc7-41a6-809a-043b091ae04a,family_relationship,0.8200454,company,Rio Isla,location,
Faroe Islands Shrimp Shark,Sarah Hays,ownership,0.8693283,company,Rio Isla,person,Country_271835
Faroe Islands Shrimp Shark,8541598,ownership,0.87307334,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,6731,membership,0.8320456,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,b8567859-bf54-49fd-8332-5775e19c65af,partnership,0.9050164,company,Rio Isla,location,
Faroe Islands Shrimp Shark,979893388,partnership,0.8558467,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,341411,family_relationship,0.8614878,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,341411,partnership,0.8672443,company,Rio Isla,organization,
Faroe Islands Shrimp Shark,Playa del Cielo Kga,family_relationship,1.73591444,company,Rio Isla,company,Rio Isla
Faroe Islands Shrimp Shark,png xi  Line,family_relationship,1.72891289,company,Rio Isla,company,Country_628643
Faroe Islands Shrimp Shark,png xi  Line,membership,0.8417909,company,Rio Isla,company,Country_628643
Faroe Islands Shrimp Shark,png xi  Line,ownership,0.86580426,company,Rio Isla,company,Country_628643
Faroe Islands Shrimp Shark,SeaSpray Wave SRL Solutions,ownership,1.76470874,company,Rio Isla,,
Faroe Islands Shrimp Shark,SeaSpray Wave SRL Solutions,family_relationship,0.8202867,company,Rio Isla,,
Faroe Islands Shrimp Shark,903311212,membership,0.82755584,company,Rio Isla,organization,
341411,21323516,partnership,0.8062242,organization,,organization,
341411,Lisa Jimenez,membership,0.8733182,organization,,person,Country_271835
341411,526269,membership,0.9089618,organization,,organization,
341411,99575926,partnership,0.95340335,organization,,organization,
341411,290834957,family_relationship,0.9426687,organization,,organization,
341411,72371354,membership,0.9565551,organization,,political_organization,
341411,55,ownership,0.8608428,organization,,organization,
341411,766649,ownership,0.82686514,organization,,political_organization,
341411,Brian Nelson,membership,0.8264447,organization,,person,Country_271835
341411,664738735,partnership,0.9071883,organization,,organization,
341411,âdevil vesselsâ,ownership,0.9090691,organization,,,
341411,1,ownership,0.88596994,organization,,organization,
341411,1,partnership,0.81400937,organization,,organization,
341411,8c53a730-3aa1-463f-aef6-999a3cfbfb70,membership,0.8828208,organization,,location,
341411,19,membership,0.8868463,organization,,vessel,
341411,47679,membership,1.7511369700000001,organization,,organization,
341411,Mar del Paraso SRL Shipping,membership,0.85579586,organization,,,
341411,3506021,partnership,0.8233436,organization,,organization,
341411,683962,ownership,0.8065772,organization,,organization,
341411,Kathleen Gates,partnership,0.9103383,organization,,person,Country_271835
341411,82408558,partnership,0.82448506,organization,,organization,
341411,New Bedford Light,partnership,0.8219258,organization,,,
341411,f94bcae5-b023-48f6-a0d5-ff2f01cc00ed,membership,0.8893693,organization,,location,
341411,f6cca381-c55e-44cc-b685-6c4139459b96,membership,0.90387654,organization,,location,
341411,d0123474-8425-4ab0-90d5-175920158638,family_relationship,0.9422639,organization,,location,
341411,933c4581-7ecc-4377-995c-7a200fee617b,ownership,0.8707887,organization,,location,
341411,Spanish Shrimp  Carriers,membership,0.9078944,organization,,company,Nalakond
341411,James Berry,partnership,0.9073893,organization,,person,Country_271835
341411,Sonia Fisheries Pvt,ownership,0.8066812,organization,,,
341411,Pesquera,ownership,0.9280179,organization,,,
341411,838200939,partnership,0.9262474,organization,,political_organization,
341411,860600018,partnership,0.83361137,organization,,organization,
341411,83951569,partnership,0.8820587,organization,,organization,
341411,yearbook2036,membership,0.8444066,organization,,,
341411,79538,partnership,0.92390555,organization,,organization,
341411,Kevin Norton,membership,0.8601562,organization,,person,Country_271835
341411,Howard Pierce,ownership,0.9336032,organization,,person,Country_271835
341411,Jessica Brown,membership,0.81375825,organization,,person,Country_789037
341411,70,membership,0.8221274,organization,,organization,
341411,85117949,family_relationship,0.84565026,organization,,political_organization,
341411,DOFâs,membership,0.88210094,organization,,,
341411,DOFâs,partnership,0.92742187,organization,,,
341411,Last,membership,0.8772003,organization,,event,
341411,Irish Sea Seaside GmbH & Co. KG Distribution,family_relationship,1.7780716,organization,,,
341411,Faroe Islands Shrimp Shark,family_relationship,2.60939216,organization,,company,Rio Isla
341411,Faroe Islands Shrimp Shark,membership,0.91906863,organization,,company,Rio Isla
341411,235866056,family_relationship,1.6360884,organization,,organization,
341411,28379,ownership,0.8248288,organization,,organization,
341411,Jason Neal,partnership,0.9121435,organization,,person,Country_271835
341411,b8f8208c-0388-484e-a700-b4c265170827,family_relationship,0.82984716,organization,,location,
341411,1aa47ffc-05a8-4edd-a8e0-94c10b650bd8,family_relationship,0.8854589,organization,,location,
341411,Wendy Duarte,family_relationship,0.8394572,organization,,person,Country_271835
341411,weeks,membership,0.87030923,organization,,movement,
341411,40213337,membership,0.80907315,organization,,organization,
341411,cutters,ownership,0.8905956,organization,,vessel,
341411,Timothy Cuevas,family_relationship,0.92843395,organization,,person,Country_271835
341411,Joshua Glover,family_relationship,0.9182399,organization,,person,Country_271835
341411,Tara Villegas,family_relationship,0.93056244,organization,,person,Country_271835
341411,75399,family_relationship,1.81037425,organization,,organization,
341411,28,partnership,0.9224263,organization,,organization,
341411,Christopher Cunningham,family_relationship,1.73040483,organization,,person,Oceanus
341411,Christopher Cunningham,membership,0.8699977,organization,,person,Oceanus
341411,b8567859-bf54-49fd-8332-5775e19c65af,family_relationship,0.8185814,organization,,location,
341411,b8567859-bf54-49fd-8332-5775e19c65af,membership,0.95098346,organization,,location,
341411,967900443,membership,0.88443977,organization,,organization,
341411,967900443,family_relationship,0.8054692,organization,,organization,
341411,months,membership,0.84088117,organization,,movement,
341411,Janice Bell,membership,0.88695025,organization,,person,Country_271835
341411,George Morton,membership,0.9484805,organization,,person,Country_271835
341411,dup98,family_relationship,0.8229683,organization,,,
341411,dup96,family_relationship,0.82096106,organization,,,
341411,dup93,family_relationship,0.8558071,organization,,,
341411,Olivia Bailey,family_relationship,0.8466374,organization,,person,Country_271835
341411,Uttar Pradesh Sp,family_relationship,0.8563299,organization,,,
341411,Debra Davis,partnership,0.88428277,organization,,person,Country_271835
341411,cefaf8b3-3aa2-4c59-b4aa-7974c8e1fe32,partnership,0.89817876,organization,,location,
341411,Estrella de Coral Ltd. Corporation Logistics,partnership,0.9114424,organization,,,
341411,Laura Jimenez,partnership,0.8078936,organization,,person,Country_271835
341411,2028,family_relationship,0.82944757,organization,,movement,
341411,f514483d-fb5f-4cb2-bb8d-b616b10336d8,membership,0.9409724,organization,,location,
341411,âVikingâ,ownership,0.91772944,organization,,,
341411,26676370,ownership,0.80674386,organization,,organization,
341411,Saltwater Solitude GmbH & Co. KG,family_relationship,0.9010364,organization,,company,Country_271835
341411,PRK,ownership,0.8530793,organization,,,
341411,Viento Azul Harbor LLC Investment,family_relationship,0.85398763,organization,,company,Country_271835
341411,Viking fishing,family_relationship,0.8874889,organization,,vessel,
341411,175,family_relationship,0.8081889,organization,,organization,
341411,95,family_relationship,0.836042,organization,,organization,
341411,expect year,family_relationship,0.8728973,organization,,event,
341411,43685541,membership,0.88727766,organization,,organization,
341411,Bryan Hill,partnership,0.80781865,organization,,person,Country_271835
341411,Michele Henry,partnership,0.87063706,organization,,person,Country_271835
341411,58db776e-40f1-4e68-b13d-dcc42416ce58,membership,0.8304546,organization,,location,
341411,73704,membership,0.8565332,organization,,organization,
341411,Amanda Mckenzie,membership,0.92350876,organization,,person,Oceanus
341411,Gulf of Guinea  Corporation,membership,0.87692744,organization,,,
341411,Christopher Simon,partnership,0.8918229,organization,,person,Country_271835
341411,Robert Nguyen,partnership,0.89730024,organization,,person,Country_948318
341411,âfirst,partnership,0.9633033,organization,,event,
341411,âinitiallyâ,partnership,0.97595835,organization,,,
341411,c01c6a10-60c9-4f11-9409-aa04c3963826,ownership,0.8260966,organization,,location,
341411,Ms. Stephanie Rivera DDS,membership,0.9036867,organization,,person,Vesperanda
341411,540613204,partnership,0.8866799,organization,,organization,
341411,46901627,ownership,0.89258456,organization,,organization,
341411,Seabreeze Foods Corporation Logistics,family_relationship,0.8797047,organization,,,
341411,Kimberly Williams,ownership,0.90522873,organization,,person,Country_271835
341411,Holly Taylor,partnership,0.8114393,organization,,person,Country_271835
341411,Michael Wright,membership,0.8109878,organization,,person,Country_271835
341411,353361057,ownership,0.91693646,organization,,organization,
341411,Thomas Morales,partnership,0.8737107,organization,,person,Country_542476
341411,Calvin Salas,partnership,0.84216976,organization,,person,Marebak
341411,Michael Chen,partnership,0.8072433,organization,,person,Country_663412
341411,Jerry Welch,membership,0.8208812,organization,,person,Country_271835
341411,Stacey Ortiz,partnership,0.8631315,organization,,person,Country_271835
341411,Brooke Hamilton,membership,0.8253791,organization,,person,Country_271835
341411,Kristi Miller,membership,0.87211215,organization,,person,Country_271835
341411,âŠ,partnership,0.8199111,organization,,event,
341411,âit,partnership,0.8231676,organization,,event,
341411,Scott Day,membership,0.80698365,organization,,person,Oceanus
341411,âStuff,membership,0.8656439,organization,,event,
341411,âDo,membership,0.8482277,organization,,,
341411,011ad1ae-ae1b-4c74-9f58-c020e6a3e836,partnership,0.90137154,organization,,location,
341411,Dry Creek S.p.A. Overseas,ownership,0.8918359,organization,,,
341411,5639000,partnership,0.8143347,organization,,organization,
341411,James Hall,membership,0.9061567,organization,,person,Country_271835
341411,95c715ba-891e-4472-8e2a-4e746dcc266a,family_relationship,0.88211274,organization,,location,
341411,1a2ebb93-1c85-4f40-abb1-cff639788678,partnership,0.8842487,organization,,location,
341411,Playa del Cielo Kga,ownership,0.8162231,organization,,company,Rio Isla
341411,Playa del Cielo Kga,partnership,1.7931339,organization,,company,Rio Isla
341411,Mar del Oeste Pic,family_relationship,0.84034866,organization,,company,Vesperlandia
341411,png xi  Line,membership,0.8451694,organization,,company,Country_628643
341411,png xi  Line,ownership,1.7685068,organization,,company,Country_628643
341411,png xi  Line,partnership,1.68595201,organization,,company,Country_628643
341411,SeaSpray Wave SRL Solutions,partnership,0.80623406,organization,,,
341411,SeaSpray Wave SRL Solutions,membership,0.81913185,organization,,,
341411,Ocean Fisheries Llc,membership,0.8386216,organization,,,
341411,903311212,ownership,1.66956416,organization,,organization,
âvictimâ,âperpetratorâ,ownership,0.9787477,,,,
William Bradley,Joseph Griffin,family_relationship,0.86577845,person,Country_271835,person,Country_271835
William Bradley,âŠâ,membership,0.85806096,person,Country_271835,,
William Bradley,dec44f58-94b0-4070-bfb3-1e13ef308ec3,family_relationship,0.8185755,person,Country_271835,location,
William Bradley,Michelle Singh,family_relationship,0.8655445,person,Country_271835,person,Country_271835
William Bradley,SSN,family_relationship,0.8605167,person,Country_271835,vessel,
William Bradley,Tyler Palmer,family_relationship,0.91271037,person,Country_271835,person,Country_271835
Joseph Griffin,âŠâ,partnership,0.83875203,person,Country_271835,,
853949688,650512,partnership,0.82702225,organization,,organization,
8,Meere Delpeuch,membership,0.8487669,organization,,,
128692,172711,membership,0.8462429,organization,,organization,
128692,5441,ownership,0.8887883,organization,,organization,
128692,199442,ownership,0.84984857,organization,,organization,
128692,âŠ,membership,0.8493988,organization,,event,
Jacob Caldwell,82f2f404-439a-4b2e-b423-726a7f933abf,membership,0.8765248,person,Country_789455,location,
Jacob Caldwell,298930,membership,0.90737545,person,Country_789455,organization,
Jacob Caldwell,555217629,partnership,0.850722,person,Country_789455,organization,
Jacob Caldwell,Mark Garcia,family_relationship,0.90984166,person,Country_789455,person,Country_789455
Jacob Caldwell,f59ca3ce-7fea-4a6b-893b-486565a8ab18,membership,0.95600444,person,Country_789455,location,
Jacob Caldwell,Kerala Market Limited Liability Company,membership,0.8217456,person,Country_789455,,
Jacob Caldwell,âtoppyâ,partnership,0.9400058,person,Country_789455,,
Jacob Caldwell,âstagâ,partnership,0.9635225,person,Country_789455,,
Jacob Caldwell,Pasture Petfoods New Zealand Ltd,partnership,0.91754186,person,Country_789455,,
14253815,4369922c-ce1d-40ff-904c-1f6a3000bf6b,membership,0.9236536,organization,,location,
14253815,341411,membership,0.87501806,organization,,organization,
Saltwater Solitude GmbH & Co. KG,PRK,partnership,0.8228372,company,Country_271835,,
Saltwater Solitude GmbH & Co. KG,âVikingâ,ownership,0.84636986,company,Country_271835,,
PRK,âVikingâ,ownership,0.85256207,,,,
PRK,Viento Azul Harbor LLC Investment,family_relationship,0.8158002,,,company,Country_271835
âVikingâ,903311212,membership,0.8926567,,,organization,
506,4937447,partnership,0.83026195,organization,,organization,
4937447,png xi  Line,partnership,0.8251247,organization,,company,Country_628643
âregularâ,2079436,ownership,0.8324415,,,organization,
Ann Daniels,Stephanie Mccormick MD,family_relationship,0.9734014,person,Osterivaria,person,Osterivaria
Ann Daniels,Lisa Clay,family_relationship,0.9111044,person,Osterivaria,person,Country_271835
Stephanie Mccormick MD,Lisa Clay,family_relationship,0.893407,person,Osterivaria,person,Country_271835
589,Ht Shipping,ownership,0.8781619,organization,,,
589,Selena Building,ownership,0.93960327,organization,,,
589,87940,ownership,0.91204643,organization,,organization,
Elizabeth Welch,da0a7bbb-5bd1-42aa-bcc0-b8923d5c15d4,membership,0.8761564,person,Country_712875,location,
Elizabeth Welch,Sept,family_relationship,0.86860394,person,Country_712875,,
Elizabeth Welch,Kathleen Gates,family_relationship,0.91782093,person,Country_712875,person,Country_271835
Elizabeth Welch,Adam Cook,family_relationship,0.8479064,person,Country_712875,person,Country_271835
Elizabeth Welch,Jason Huff,family_relationship,0.9334543,person,Country_712875,person,Country_271835
